Entidade;Frequência;Classe
Advocacia Geral da União - AGU;35;4
Agência Brasileira de Inteligencia - ABIN;12;4
Agência Nacional das Águas - ANA;33;4
Agência Nacional de Aviação Civil - ANAC;28;4
Agência Nacional de Energia Elétrica - ANEEL;39;4
Agência Nacional de Mineração - ANM;6;4
Agência Nacional de Petróleo, Gás Natural e Biocombustíveis - ANP;21;4
Agência Nacional de Saúde Suplementar - ANS ;17;4
Agência Nacional de Telecomunicações - ANATEL;44;4
Agência Nacional de Transportes Aquaviários - ANTAQ;15;4
Agência Nacional de Transportes Terrestres - ANTT;64;4
Agencia Nacional de Vigilância Sanitária - ANVISA;74;4
Agência Nacional do Cinema - ANCINE;5;4
Assembleia Legislativa de Minas Gerais - ALMG;12;4
Assembleia Legislativa de São Paulo - ALESP;10;4
Assembleia Legislativa do Ceará;6;4
Assembleia Legislativa do Estado de Goiás;5;4
Assembleia Legislativa do Estado do Pará;5;4
Assembleia Legislativa do Estado do Rio de Janeiro - ALERJ;7;4
Assembleia Legislativa do Paraná;5;4
Assembleia Legislativa do Rio Grande do Sul;10;4
Associação Brasileira de Municípios - ABM;6;4
Associação Brasileira de Secretários Municipais de Esportes e Lazer;4;4
Associação Nacional de Órgãos Municipais de Meio Ambiente - ANAMA;4;4
Associação Nacional dos DETRANS - AND;19;4
Associação Nacional dos Serviços Municipais de Saneamento - ASSEMAE;8;4
Autoridade Pública Olímpica - APO;7;4
Banco Central do Brasil - BACEN;44;4
Banco Nacional de Desenvolvimento Econômico e Social - BNDES;56;4
Camara Legislativa do Distrito Federal;9;4
Câmara Municipal de Porto Alegre;5;4
Casa Civil da Presidencia da Republica;33;4
Casa da Moeda do Brasil;4;4
Colégio Nacional dos Secretários de Segurança Pública - CONSESP;5;4
Comando da Aeronáutica;12;4
Comando da Marinha do Brasil;21;4
Comissão de Valores Mobiliários - CVM;12;4
Compainha de Desenvolvimento dos Vales de São Francisco e do Parnaíba - CODEVASF;23;4
Companhia Hidro Elétrica do São Francisco - CHESF;8;4
Companhia Nacional de Abastecimento - CONAB;13;4
Confederação Nacional de Municípios - CNM;67;4
Conselho Administrativo de Defesa Econômica - CADE;21;4
Conselho de Controle de Atividades Financeiras - COAF;7;4
Conselho Nacional de Educação - MEC;7;4
Conselho Nacional de Justiça - CNJ;24;4
Conselho Nacional de Política Criminal e Penitenciária - CNPCP;4;4
Conselho Nacional de Política Fazendária - CONFAZ;7;4
Conselho Nacional de Saúde - CNS;39;4
Conselho Nacional de Secretarias Municipais de Saúde - CONASEMS;36;4
Conselho Nacional de Secretários de Educação - CONSED ;27;4
Conselho Nacional de Secretários de Saúde - CONASS ;32;4
Conselho Nacional de Secretários Estaduais para Assuntos de Ciência, Tecnologia e Inovação - Consecti;5;4
Conselho Nacional de Segurança Alimentar e Nutricional - CONSEA;10;4
Conselho Nacional de Trânsito - CONTRAN;5;4
Conselho Nacional do Ministério Público - CNMP;12;4
Conselho Nacional dos Direitos da Criança e do Adolescente - CONANDA;15;4
Conselho Nacional dos Direitos da Pessoa com Deficiência - CONADE;13;4
Conselho Nacional dos Direitos do Idoso - CNDI;9;4
Conselho Nacional dos Direitos Humanos - CNDH;6;4
Controladoria Geral da União - CGU;27;4
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - CAPES;14;4
Corpo de Bombeiros Militar do Distrito Federal - CBMDF;9;4
Defensoria Pública da União - DPU;28;4
Defensoria Pública do Distrito Federal;8;4
Defensoria Pública do Estado de São Paulo;6;4
Defensoria Pública do Estado do Rio de Janeiro;8;4
Departamento de Polícia Rodoviária Federal - DPRF;8;4
Departamento de Proteção de Defesa do Consumidor - DPDC;7;4
Departamento Nacional de Infraestrutura de Transportes - DNIT;52;4
Departamento Nacional de Obras Contra as Secas - DNOCS;8;4
Departamento Nacional de Produção Mineral - DNPM;8;4
Departamento Nacional de Trânsito - DENATRAN;48;4
Departamento Penitenciário Nacional - DEPEN;9;4
EMATER-MG;6;4
Empresa Brasileira de Infraestrutura Aeroportuária  - Infraero;9;4
Empresa de Planejamento e Logística do Ministério dos Transportes - EPL;5;4
Estado de São Paulo;8;4
Estado do Pará;5;4
Estado do Rio de Janeiro;4;4
Estado Maior Conjunto das Forças Armadas;4;4
Exército Brasileiro;27;4
Financiadora de Estudos e Projetos - FINEP;6;4
Fórum Nacional de Educação - FNE ;9;4
Fórum Nacional dos Conselhos de Trânsito - FOCOTRAN;6;4
Frente Nacional de Prefeitos - FNP;20;4
Frente Parlamentar Agropecuária - FPA;8;4
Fundação Nacional de Saúde - FUNASA ;9;4
Fundação Nacional do Índio - FUNAI ;37;4
Fundo Nacional de Desenvolvimento da Educação - FNDE;7;4
Gabinete de Segurança Institucional da Presidência da República - GSI;5;4
Governo do Distrito Federal;26;4
Governo do Estado de Goiás;5;4
Governo do Estado de São Paulo;6;4
Instituto Brasileiro de Geografia e Estatística - IBGE;22;4
Instituto Brasileiro de Turismo - EMBRATUR;17;4
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA;78;4
Instituto Butantan;4;4
